Job title,Company,location,job type
Client Advisor,DOLCE&GABBANA -,"Riyadh, Saudi Arabia ",Full Time
№354-Assistant Waiter/Tress,theWORK -,"Riyadh, Saudi Arabia ",Freelance / Project
Business Analyst,IDEMIA -,"Cairo, Egypt ",Full Time
IT Manager,Confidential -,"Heliopolis, Cairo, Egypt ",Full Time
"Senior Specialist, Projects Planning & Scheduling",ROSHN l روشن -,"Makkah, Saudi Arabia ",Full Time
SAP SD Consultant,Confidential -,"Nasr City, Cairo, Egypt ",Full Time
Senior Back End Developer - Node JS,Trufla -,"Heliopolis, Cairo, Egypt ",Full Time
Assistant Computer Systems Administrator,"The Micro, Small & Medium Enterprise Development Agency  -","Dokki, Giza, Egypt ",Full Time
PHP Developer,"The Micro, Small & Medium Enterprise Development Agency  -","Dokki, Giza, Egypt ",Full Time
.Net Full Stack Developer,"The Micro, Small & Medium Enterprise Development Agency  -","Dokki, Giza, Egypt ",Full Time
Senior Piping Engineer,Oil and Gas Job Search Ltd -,"Doha, Qatar ",Full Time
SAP FICO Consultant,Confidential -,"Nasr City, Cairo, Egypt ",Full Time
Network Engineer,"The Micro, Small & Medium Enterprise Development Agency  -","Dokki, Giza, Egypt ",Full Time
Senior Control Systems Engineer,Oil and Gas Job Search Ltd -,"Doha, Qatar ",Full Time
Backend Developer,Tadafuq Information Technology -,"Cairo, Egypt ",Full Time
Sales Representative for cold calls,scandiweb -,"Cairo, Egypt ",Full Time
Web Development Team Leader,Magints -,"Heliopolis, Cairo, Egypt ",Full Time
Senior .Net Developer,Magints -,"Heliopolis, Cairo, Egypt ",Full Time
Business Support Director,"Zakat, Tax and Customs Authority -","Riyadh, Saudi Arabia ",Full Time
Software Quality Control TeamLead,Nahdet Misr Publishing Group -,"Giza, Egypt ",Full Time
IT Specialist,Statements for Consulting -,"Boulaq, Cairo, Egypt ",Full Time
Project Coordinator,Media Vyper Knowledge -,"Kuwait City, Kuwait ",Part Time
IT Specialist,ABCO Group  -,"Bourj Alarab, Alexandria, Egypt ",Full Time
Full Stack Developer,LinkIT -,"New Damietta, Damietta, Egypt ",Full Time
Sales Manager,Rb consulting and training services Co. -,"Maadi, Cairo, Egypt ",Full Time
"Senior Manager, Project Risk Management",ROSHN l روشن -,"Riyadh, Saudi Arabia ",Full Time
IT Specialist,BTC-Egypt Gold -,"Heliopolis, Cairo, Egypt ",Full Time
Solutions Architecture Engineer,Khales -,"Giza, Egypt ",Full Time
Full Stack Developer,Khales -,"Giza, Egypt ",Full Time
Digital Data Analyst (Entry Level),Media Vyper Knowledge -,"Doha, Qatar ",Part Time
IT Help Desk,Better Home -,"New Cairo, Cairo, Egypt ",Full Time
Senior Enterprise DELTEK Specialist (Remote),SSHIC International Engineering Consultants -,"Dubai, United Arab Emirates ",Full Time
ICU Consultant J207330,Prospect Health -,"Makkah, Saudi Arabia ",Full Time
Senior Sales Executive (Hotel & Restaurants Software),Comsys Software -,"Heliopolis, Cairo, Egypt ",Full Time
Senior Software Implementer - Financial Solutions,Comsys Software -,"Heliopolis, Cairo, Egypt ",Full Time
Senior Continuous Improvement Manager,Mace -,"Riyadh, Saudi Arabia ",Full Time
Front Office Senior Implementer (Hotel Software Solution),Comsys Software -,"Heliopolis, Cairo, Egypt ",Full Time
Senior Android Developer,Softxpert Incorporation  -,"Alexandria, Egypt ",Full Time
IT Engineer,Armas Company -,"Dammam, Saudi Arabia ",Full Time
(Global Oil Gas) Field Electrical Mechanical Engineer,MatchaTalent -,"Kuwait City, Kuwait ",Full Time
Writing Support Assistant,Project Growth -,"Cairo, Egypt ",Freelance / Project
ODDO Implementer,Al Asdekaa Group for Dairies Production and Trading -,"Bourj Alarab, Alexandria, Egypt ",Full Time
Junior Investment Banking Analyst/Manager,Skill Farm -,"Dubai, United Arab Emirates ",Full Time
Junior Consulting Analyst,Skill Farm -,"Dubai, United Arab Emirates ",Full Time
Business Analyst,Skill Farm -,"Dubai, United Arab Emirates ",Full Time
IT Analyst,Skill Farm -,"Dubai, United Arab Emirates ",Full Time
Junior Finance Analyst - Sales,Skill Farm -,"Dubai, United Arab Emirates ",Freelance / Project
Project Manager,Mohammad Al Habib Real Estate Co. | شركة محمد الحبيب العقارية -,"Riyadh, Saudi Arabia ",Full Time
Devops Engineer,Tafeel -,"Riyadh, Saudi Arabia ",Full Time
"Senior Manager, Application & Data Architecture",ROSHN l روشن -,"Riyadh, Saudi Arabia ",Full Time
Senior Product Owner & Scrum Master,Sulfah -,"Maadi, Cairo, Egypt ",Full Time
SEO Specialist - Remote,RS -,"Cairo, Egypt ",Full Time
Junior Full Stack Node.js Developer,NClip -,"Alexandria, Egypt ",Full Time
Technical Specialist,InterSystems -,"Dubai, United Arab Emirates ",Full Time
Manager-Legal Services,KPMG Lower Gulf -,"Dubai, United Arab Emirates ",Full Time
